123654324: mamamouchi, praetorial
715196136: Blok[1802464322], well-completed
860825794: glutinous, platys[126965480778864] -> cycle = 126963678314542 
1086475408: agglomerate, redries[32481125886879090] -> cycle = 32354160406100226 
1630017771: full-bosomed, timetables
1841621533: overcurrent, titulation
1930926016: panime[111520594682224], thyrotomy
2256244115: bipropellant, radiatostriate
2372842042: Reg[6776146], nevermind
2628118576: gas-retort, protome[28549298110034544] -> cycle = 28549298103258398 
2845978362: Grimmiaceae, locomotility
2872456989: coreign[31075949809397603], qualifiers
2936530182: Sandron[31084784540082515], namesake[7308041968589562222] -> cycle = 7276957184049479707 
3113806362: chloroformed, well-curbed
3319085781: undiscordant, unglossiness
3587026781: fireplaces, shemaal[30506368559835251] -> cycle = 7277535600029726971 
3667355532: generations, plate-shearing
3742604365: dynamically, pulmonarian
3788114279: factioneer, torsiometer
3843417008: agrom[470021203809], unregurgitated
3897035189: Mogador[32210624266596173], kneaders[8318822943511899755] -> cycle = 8286612319245303582 
3969191929: Matronna[7020670294057836877], bloedite[7310583975048604770] -> cycle = 289913680990767893 
4082667700: astrological, catalogued
4194003470: escambio[8028056032689484645], quaintest

Cycles collisions:
126963678314542: 1, 28549298103258398: 1, 32354160406100226: 1, 289913680990767893: 1, 7276957184049479707: 1, 7277535600029726971: 1, 8286612319245303582: 1
