190003393: mamamouchi, praetorial
194212528: astrological, catalogued
427526681: Sandron[31084784540082515], namesake[7308041968589562222] -> cycle = 7276957184049479707 
487931151: overcredulously, rebound[28268948330014066] -> cycle = 7279773020259548156 
791641914: Bendena[27424454496642370], ginny-carriage
908941737: Matronna[7020670294057836877], bloedite[7310583975048604770] -> cycle = 289913680990767893 
1060920519: panime[111520594682224], thyrotomy
1760287017: factioneer, torsiometer
1793653732: Pro-neapolitan, oria[1634300527] -> cycle = 111518960381697 
1870016602: agglomerate, redries[32481125886879090] -> cycle = 32481124252578563 
2194676710: diamylene, world-eminent
2449156633: escambio[8028056032689484645], quaintest
2452271834: fireplaces, shemaal[30506368559835251] -> cycle = 7997549664129649394 
2599533280: undiscordant, unglossiness
2634026522: glutinous, platys[126965480778864] -> cycle = 30379403079056387 
2718092324: dynamically, pulmonarian
2750083703: noncooperating, outputter
2765022352: full-bosomed, timetables
2775177618: Reg[6776146], nevermind
3122449053: Mogador[32210624266596173], kneaders[8318822943511899755] -> cycle = 8286612319245303582 
3311102769: chloroformed, well-curbed
3474461112: gas-retort, protome[28549298110034544] -> cycle = 8290273645401865211 
3530965548: coreign[31075949809397603], qualifiers
3537085453: overcurrent, titulation
3625381168: befuddle[7308326677944624482], table-hopping
3845136795: Grimmiaceae, locomotility

Cycles collisions:
111518960381697: 1, 30379403079056387: 1, 32481124252578563: 1, 289913680990767893: 1, 7276957184049479707: 1, 7279773020259548156: 1, 7997549664129649394: 1, 8286612319245303582: 1, 8290273645401865211: 1
