156299232: Munychia[7019256270681961805], trepidancy
436614498: acromimia, deuter-[12792154023093604] -> cycle = 7006464116658868201 
617045684: cochlospermaceous, sour-tasted
709325888: diakonika, to-burst[8391176379205250932] -> cycle = 8378384225182157328 
724215217: cactiform, evulge[111494875674213] -> cycle = 8391064884329576719 
1134510879: Millet[127978959563085], rariety[34186451091612018] -> cycle = 34058472132048933 
1177240706: bonework[7742373267996831586], dechristianize
1177851963: Heloise[28555869325911368], annullate
1395147412: Thurlough, grim-visaged
1762342623: batfowls[8317153932190441826], processus
2087254532: red-clay[8746391124549330290], telecomputer
2108414370: unaxled[28259014221590133], well-hued
2162932562: euomphalid, squadrism
2397469177: Scorpioidea, quadrans[8317692705738159473] -> cycle = 8289433691516569340 
2411705000: disaffiliating, micrograver
2585827784: cubododecahedral, notifyee[7306379451241361262] -> cycle = 1011313254496798211 
2600659609: compenetration, piaffer[32199637823744368] -> cycle = 7274179813417616894 
3200067034: dicyclist, vague[435761406326] -> cycle = 32199202062338042 
3363407439: chorale[28548138435307619], experimenting
3491569576: Camilla[27422285621977411], paintingness
3528088424: Bhikkuni[7597138725644625986], gilds[495606065511] -> cycle = 7597138230038560475 
4117329225: fat-fed[28258987194736998], visualizable

Cycles collisions:
32199202062338042: 1, 34058472132048933: 1, 1011313254496798211: 1, 7006464116658868201: 1, 7274179813417616894: 1, 7597138230038560475: 1, 8289433691516569340: 1, 8378384225182157328: 1, 8391064884329576719: 1
