35551986: cedared[28259039605712227], newsboard
233799227: priseres[8315178067063042672], prizemen[7954884599432704624] -> cycle = 360293467630338048 
817795218: Chautemps, Streator[8245937404401316947] -> cycle = 291052804968612323 
833226485: Leptilon[7957698266767844684], languor[32210697382158700] -> cycle = 7925487569385685984 
1325795540: insuppressive, reproduction's
1628682940: alveary[34184234821643361], nonnomadic
2099597663: fine-furred, okeydokey
2150823081: gru-gru[33058359745016423], lily-tongued
2175706675: riffraff[7378692183465290098], unpayable
2366154297: Garita[107152613204295], uncontestability
2473764439: Rockmart[8390876178325663570], clathrate
2491934175: unharden[7954874759243132533], unhorned[7234309814215011957] -> cycle = 720564945028120576 
2723853966: flatted[28259048514219110], inducement's
2858815183: bolivares, thyrocele
2985796189: machine's, tiddlywinking
3135110603: boutonnieres, huskily[34177672212084072] -> cycle = 5918623697864962 
3216114835: excysted[7234316415747192933], hugeously
3298798244: smooth-fruited, strong-ribbed
3480780521: Mucker[125779918943565], preinterceding
3797951293: Pohang[113723778297680], enjoys[126965397483109] -> cycle = 13241619185429 
4115896036: electrophorus, osity[521644110703] -> cycle = 126443753372406 

Cycles collisions:
13241619185429: 1, 126443753372406: 1, 5918623697864962: 1, 291052804968612323: 1, 360293467630338048: 1, 720564945028120576: 1, 7925487569385685984: 1
