435638468: XO[20312], essoinment
466464789: Binky[521493440834], cyne-[194975267171] -> cycle = 326518173663 
581232218: diffusion, occluding
624201595: Poliatas[8314054348832010064], brains[126918051590754] -> cycle = 8313927430780419310 
1082557946: Buraq[486966195522], sober-tinted
1219190337: Cutlip[123598093448515], Greenleaf
1404146006: board-and-shingle, whip-saw[8602283402251036791] -> cycle = 8602159804157588276 
1496839365: mint[1953393005], panclastic
1562251347: iconolagny, memorious
1667104971: Indonesia, sautoires
1684642699: chevener[8243116075028670563], corporationism
1999194589: absonous[8319678406743777889], waggon-headed
2111737798: hyperpulmonary, microsporous
2360432970: Williamsville, multi-jet
2782448786: revving[29113321839289714], torturing
2836478058: isobarism, semidigested
3206802793: microprogrammed, unsolacing
3257361145: stovemaking, thou-shalt-not
3375099439: pilous[126948217743728], unhasped[7234312017298353781] -> cycle = 7234185069080610053 
3416623773: charbroils, sixsome[28549298093844851] -> cycle = 7205762719204508930 
3571447723: Senusian[7953754361525331283], paca[1633902960] -> cycle = 7953754359891428323 
3586314182: Americanitis, nonspeculation
3629696349: Tilburg[29117771089209684], raintight
3758493155: bullwort[8390891614455493986], harbourous
3812505976: Littre[111542254463308], cichoraceous
4108792594: cryobiology, parvule[28548224401957232] -> cycle = 28436682147493924 
4149395753: impotences, overborn[7958545960133817967] -> cycle = 7929997735731860735 

Cycles collisions:
326518173663: 1, 28436682147493924: 1, 7205762719204508930: 1, 7234185069080610053: 1, 7929997735731860735: 1, 7953754359891428323: 1, 8313927430780419310: 1, 8602159804157588276: 1
