396158379: chansonnier, iodomercurate
617241897: machineful, proprietress
676763063: homogenetical, proselytistic
738830089: freaked-out, rollback[7738135660106379122] -> cycle = 7737995332994237083 
767159366: autoradiogram, mycoflora
926090421: Bogard[110442423217986], knife-stripped
1287552618: soulbell[7812730926981803891], well-designated
1443916495: automorphic, stippler[8243113923149657203] -> cycle = 430382996167853312 
1555695714: carpool[30521821903348067], ramack[118074580492658] -> cycle = 30403747322855409 
1558652458: innovation, kantians[8317692667352736107] -> cycle = 8317574592772243449 
1607773608: alcali[115914211290209], flustration
1678518722: cytulae[28536091102706019], quet[1952806257] -> cycle = 28536089149899762 
1756106251: descendibility, raffled[28259013919924594] -> cycle = 28259011967118337 
1892029540: PCF[4604752], QBP[5259857] -> cycle = 655105 
1919783723: canzone[28550397722255715], tetrachoric
2204500632: supplier[8243110607435363699], uphoards[8314896574839287925] -> cycle = 71785967403924226 
2295086593: Concordia, teller-out
2326240413: frailejon, insurmountable
2725823330: laicising, rhabdomantic
2743329631: averruncate, polyglycerol
2800307378: Kennelly[8749487358974256459], mule[1701606765] -> cycle = 8749487357272649694 
3026252525: adits[495874303073], self-surviving
3683183370: Non-arab[7089073050157477710], pottle-bodied
3832882009: Megargee[7306359711436596557], bluffness
4142813867: kidney-leaved, vialed[110386772797814] -> cycle = 7306249324663798743 
4147042064: mimetical, transmorphism

Cycles collisions:
655105: 1, 28259011967118337: 1, 28536089149899762: 1, 30403747322855409: 1, 71785967403924226: 1, 430382996167853312: 1, 7306249324663798743: 1, 7737995332994237083: 1, 8317574592772243449: 1, 8749487357272649694: 1
