56530797: bebilya[27436579272418658], surveyable
369136529: Eventognathi, Olimbos[32492090854829135] -> cycle = 5055511582410477 
384939358: erectile[7308332243920188005], supercerebrally
971641478: Merycoidodontidae, slothfulness
1094596599: Armilla[27422285621981761], miscegenationist
1503756077: dodman[121364726181732], sporadin[7956000586421203059] -> cycle = 7955879221695021327 
1587135237: delusive[7311146989694772580], unpreordained
1682617058: dactyl-[12785642851492196], sangreeroot
1779053369: phthisical, statelinesses
1787175978: Longhorn[7958545985719660364], retorsion
1913032629: cargos[126922314113379], twice-baptized
1952997291: Ascidioidea, eventuation
2272005672: lacto[478694039916], spermaduct
2574212495: Tempean[31069335743980884], overlaunch
2621725980: NETCDF[77259001316686], neurasthenically
2668452591: arillus[32498730857493089], capture[28554821438038371] -> cycle = 3943909419454718 
2679481801: Enrica[107079598763589], Zoan[1851879258] -> cycle = 107077746884331 
3124755304: Kalgan[121364626039115], neurulae[7305239322258924910] -> cycle = 7305117957632885795 
3175642450: Bazil[465626095938], opsimathy
3203659039: sagittoid, wind-waved
3243698177: querulential, unpinioned
3398869964: Pineola[27422298439838032], goaler[125779935588199] -> cycle = 27296518504249833 
3503102474: orthophosphoric, thralls[32488835068881012] -> cycle = 32363055133292813 
3583199881: banderole, unrent[128017497222773] -> cycle = 32360817571658239 
3888381094: Advent[128017497482305], tiringly[8749481899987200372] -> cycle = 8749353882489718067 
3951469251: congruism, nonamenably

Cycles collisions:
107077746884331: 1, 3943909419454718: 1, 5055511582410477: 1, 27296518504249833: 1, 32360817571658239: 1, 32363055133292813: 1, 7305117957632885795: 1, 7955879221695021327: 1, 8749353882489718067: 1
